id	Date	sex	status	avail	hold	dam	sire	origin	birth	death	arrivedate	arrivetime	departdate	departtime	room	cage	cond	weight	wdate	wtime	tbdate	medical	purchasedby	v_status
r09027	2009-04-27	f	alive	ab		r03152	r95046	cen	2009-04-27						ab108	0025	gm	0.8200	2009-07-27	1970-01-01 09:00:00	2009-07-27			
r09026	2009-04-25	f	alive	ab		rh2030	rh2150	cen	2009-04-25						ab119	0019	gm	0.7600	2009-07-07	1970-01-01 09:30:00				
r09025	2009-04-24	f	alive	ab		r03039	r03015	cen	2009-04-24						ab108	0005	gm	0.7800	2009-07-27	1970-01-01 09:00:00	2009-07-27			
cj1634	2009-04-24	m	alive	u		cj0534	cj0863	cen	2009-04-24						a142	0019	gmf	0.1080	2009-06-30	1970-01-01 14:45:00				
cj1633	2009-04-22	f	alive	u		cj1234	cj1263	cen	2009-04-22						a142	0001	gmf	0.0920	2009-06-12	1970-01-01 09:00:00				
cj1632	2009-04-22	f	alive	u		cj1234	cj1263	cen	2009-04-22						a142	0001	gmf	0.0890	2009-06-12	1970-01-01 09:00:00				
r09024	2009-04-13	m	alive	ab		r02031	r95069	cen	2009-04-13						ab140	0003	gm	0.7300	2009-07-14	1970-01-01 08:50:00	2009-07-14			
cj1630	2009-04-11	f	alive	u		cj0984	cj1115	cen	2009-04-11						a161a	pen1	gmf	0.1000	2009-06-24	1970-01-01 09:00:00				
cj1629	2009-04-11	f	d-othr	u		cj0984	cj1115	cen	2009-04-11	2009-04-24					a161a	pen1	gmf	0.0240	2009-04-24	1970-01-01 07:50:00				
cj1631	2009-04-11	f	alive	u		cj0984	cj1115	cen	2009-04-11						a161a	pen1	gmf	0.1110	2009-06-24	1970-01-01 09:00:00				
r09023	2009-04-09	m	alive	ab		r03041	r97100	cen	2009-04-09						ab140	0011	gm	0.9400	2009-07-14	1970-01-01 08:50:00	2009-07-14			
cj1628	2009-04-08	m	alive	u		cj1212	cj1271	cen	2009-04-08						a142	0024	gmf	0.1840	2009-07-22	1970-01-01 13:35:00				
r09022	2009-04-07	m	alive	ab		r04023	r01071	cen	2009-04-07						ab160	tmp1	p	0.9640	2009-07-13	1970-01-01 07:30:00				
cj1627	2009-04-05	m	alive	u		cj1252	cj1333	cen	2009-04-05						ab190	pen1	gmf	0.1370	2009-06-24	1970-01-01 09:00:00				
cj1626	2009-04-05	f	alive	u		cj1252	cj1333	cen	2009-04-05						ab190	pen1	gmf	0.1320	2009-06-24	1970-01-01 09:00:00				
cj1625	2009-04-05	f	d-othr	u		cj1252	cj1333	cen	2009-04-05	2009-04-05					ab190	pen1	gmf	0.0240	2009-04-05	1970-01-01 07:00:00				
r09021	2009-03-26	f	alive	ab		r02010	r95069	cen	2009-03-26						ab160	tmp1	p	1.1200	2009-07-13	1970-01-01 07:35:00				
r09020	2009-03-25	m	alive	ab		r96007	r98038	cen	2009-03-25						ab108	0005	gm	1.1600	2009-07-27	1970-01-01 09:00:00	2009-07-27			
r09019	2009-03-19	m	alive	ab		r99089	r92064	cen	2009-03-19						ab163	0005	gm	1.1000	2009-07-15	1970-01-01 09:30:00	2009-07-15			
r09018	2009-03-13	m	alive	ab		r02024	r97100	cen	2009-03-13						ab112	0001	p	0.9700	2009-06-12	1970-01-01 09:00:00				
r09017	2009-03-10	f	alive	ab		r99077	r02009	cen	2009-03-10						ab167	0013	m	0.8000	2009-07-16	1970-01-01 09:30:00	2009-07-16			
cj1622	2009-03-03	f	d-othr	u		cj1038	cj0955	cen	2009-03-03	2009-03-08					a142	0002	gmf	0.0240	2009-03-09					
cj1624	2009-03-03	m	alive	u		cj1038	cj0955	cen	2009-03-03						a142	0002	gmf	0.1640	2009-06-17	1970-01-01 11:51:00				
